,rainbow1,rainbow2,rainbow3,rainbow4
0,54.31399057917012,61.49130150070405,54.488,53.686206896551724
1,54.34667124115917,61.54322935602903,54.52,53.53793103448275
2,54.503816390369195,61.66993596246132,54.647999999999996,53.55862068965517
3,54.3970759337636,61.66122463423143,54.604,53.59655172413793
4,54.68258640357566,61.581301386877406,54.776,53.61206896551724
5,54.85239023363154,61.511819579390426,55.03200000000001,53.69827586206897
6,55.11651521592017,61.6416072056292,55.29200000000001,54.02413793103448
7,55.341836277658146,61.733494742045366,55.452000000000005,54.32241379310345
8,55.44119682936617,61.87025112839045,55.604,54.40172413793103
9,55.70374001177514,62.226372130145386,55.78,54.62068965517241
10,55.97510320189238,62.385167355317954,55.972,54.834482758620695
11,56.3043209949986,62.672625885588126,56.221111111111114,55.110344827586204
12,56.55575318266978,62.91189299535299,56.454518518518526,55.258620689655174
13,57.67686795336421,63.033437403625534,56.863425925925924,55.300000000000004
14,57.76853151317068,62.94392053493173,56.9949074074074,55.210344827586205
15,57.9067722903657,62.82794458730434,57.21944444444444,55.15344827586207
16,58.05940344031278,62.7612357299902,57.527314814814815,55.05862068965517
17,58.19368436557126,62.578591354513804,57.83935185185186,54.9
18,58.25286342192247,62.308703002144625,58.17222222222222,54.56896551724138
19,58.31760199085552,62.23262475665211,58.53796296296296,54.38793103448276
20,58.36487027741193,62.00298627430294,58.89074074074074,54.18620689655172
21,59.231049862905834,62.76490031630419,60.343999999999994,54.46551724137931
22,59.47491024901926,62.69908256550557,60.68,54.65689655172414
23,59.80130682377423,62.728820854583766,61.162,54.92413793103448
24,59.96721645192487,62.51794954666861,61.272000000000006,55.10344827586208
25,60.078571677204565,62.260614904998256,61.136,55.3551724137931
26,60.173334690682765,61.869567117219376,61.03200000000001,55.52413793103449
27,60.57455465217019,61.702244593066354,60.903999999999996,55.865517241379315
28,60.68091535277998,61.32065666933824,60.728,56.175862068965515
29,60.88602562480148,61.091237319208126,60.547999999999995,56.50344827586207
30,61.03880146709687,60.955142269931216,60.548,56.75
31,61.29264748033361,61.05280573003398,60.571999999999996,57.17241379310346
32,61.54780683404953,61.24218837274079,60.544,57.64310344827586
33,61.780716720969544,61.348966233824065,60.51733333333333,58.039655172413795
34,62.3271822879505,61.79596188896567,60.873444444444445,58.64827586206896
35,62.687428126262766,62.04103187064591,61.20755555555556,58.920689655172424
36,63.14088833534453,62.41156496738345,61.71422222222222,59.22241379310344
37,63.43693744311779,62.61625502260129,62.04533333333333,59.37931034482759
38,63.77973541156432,62.87798059753936,62.38844444444444,59.606896551724134
39,63.98399292662606,63.06931886546293,62.6,59.79827586206896
40,64.13202611296848,63.223230969689304,62.824,59.87586206896552
41,64.2672601320791,63.37482511538342,63.06399999999999,59.90689655172414
42,64.3170193547038,63.455630702631886,63.20700000000001,59.92068965517241
43,64.33791945757298,63.519616138194785,63.29288888888888,59.92413793103448
44,64.29883819859889,63.55922620637844,63.336000000000006,59.91724137931035
45,64.2360169683099,63.57818073530683,63.324,59.91379310344828
46,64.19364606306296,63.69666403609912,63.334,59.92758620689655
47,64.20281239533162,63.798674157967305,63.41,59.96206896551723
48,63.91396029082351,63.591065151366024,62.852000000000004,60.063793103448276
49,63.65130190244521,63.416176428641755,62.172000000000004,60.331034482758625
50,63.45681011890147,63.23570625089136,61.483999999999995,60.601724137931036
51,63.16769238412615,63.068691609435305,60.88,60.80344827586207
52,63.39861318634965,63.33355846237594,60.924,61.12758620689655
53,63.447107167381965,63.51157467137472,60.97688888888889,61.334482758620695
54,63.555530271797984,63.773302936314884,61.051,61.61724137931034
55,63.648026985756275,63.98764137494121,61.184,61.79827586206896
56,63.70576976616657,64.18416893631816,61.38,61.92758620689656
57,63.72067742984763,64.31555087248134,61.61599999999999,61.94655172413793
58,63.64323401903851,64.37055643157443,61.82599999999999,61.91724137931034
59,63.63871985451614,64.42277189338593,62.24,61.820689655172416
60,63.512049277033334,64.43696856174661,62.528,61.75172413793104
61,64.13899653449906,65.18732335479004,64.27222222222223,61.63448275862069
62,64.51305749739743,65.6922889404531,65.44027777777778,61.53103448275861
63,64.6196561973203,65.7384989426117,65.82638888888889,61.4551724137931
64,64.46705293631489,65.53202153131673,65.58333333333333,61.47758620689655
65,64.35571858434454,65.33070441878435,65.375,61.53448275862068
66,64.07542086549775,65.00015650719106,64.69466666666668,61.662068965517236
67,64.16677755436505,64.98552081945373,64.70666666666666,61.78275862068965
68,64.36054248981753,64.96070959092263,64.69866666666667,61.97586206896552
69,64.5160095214437,64.87748960104203,64.64266666666666,62.12758620689655
70,64.66602512908725,64.72182564679767,64.43733333333333,62.43793103448276
71,64.43578469085016,64.23940896607803,63.77885714285714,62.63793103448276
72,64.4625856569037,63.99212088190217,63.681999999999995,62.922413793103445
73,64.47670623852667,63.81710129618433,63.68266666666666,63.10517241379311
74,65.18900728825396,64.19468740186637,64.936,63.40344827586206
75,65.97018335105373,64.64514700712888,66.196,63.61724137931034
76,65.91741654741907,64.45627665301416,66.176,63.71379310344827
77,65.84186219846043,64.34740874952041,66.14399999999999,63.83793103448276
78,65.69475237062044,64.23250713257929,66.132,63.834482758620695
79,65.49850078290594,64.06108135659952,66.156,63.737931034482756
80,65.27026985107301,63.963148766755126,66.136,63.6551724137931
81,65.10089377103958,63.89347479978226,66.136,63.51379310344828
82,64.94358221557873,63.847470656157114,66.148,63.36379310344827
83,64.85649555944697,63.85353763209753,66.18,63.29310344827586
84,64.81207874414895,63.89789424030415,66.22,63.27931034482759
85,64.80175105574226,63.84739685128681,66.26,63.293103448275865
