,rainbow1,rainbow2,rainbow3,rainbow4
0,61.303999999999995,73.55555555555556,51.56,50.42068965517242
1,61.364,73.24074074074075,51.407999999999994,50.36896551724138
2,61.476000000000006,72.89259259259259,51.708,50.372413793103455
3,61.7,72.37407407407407,52.028,50.40344827586207
4,62.11600000000001,71.77407407407408,52.571999999999996,50.48620689655172
5,62.604,71.29629629629629,53.885999999999996,50.644827586206894
6,63.163999999999994,70.97777777777777,55.03600000000001,50.7396551724138
7,63.868,70.5925925925926,56.833777777777776,50.96896551724139
8,64.668,70.06666666666666,58.17422222222221,51.12068965517241
9,65.784,69.84259259259258,59.60711111111112,51.47241379310344
10,66.91199999999999,68.06785714285715,61.42977777777777,51.734482758620686
11,67.98488888888888,68.12142857142858,62.629333333333335,52.11724137931034
12,68.18749999999999,68.17261904761905,64.54133333333334,52.358620689655176
13,69.34166666666667,68.3406746031746,65.64311111111112,52.61034482758621
14,70.3625,68.51696428571428,67.00399999999999,53.10862068965517
15,72.26,68.73452380952381,67.90799999999999,53.491379310344826
16,73.288,68.8391581632653,68.76799999999999,54.04827586206896
17,74.402,69.00064484126983,69.1,54.37931034482759
18,75.45599999999999,69.06984126984128,69.44800000000001,54.689655172413794
19,76.222,69.25892857142857,69.846,55.189655172413794
20,76.90800000000002,69.40178571428571,69.93,55.53620689655172
21,77.52,69.55089285714286,70.12571428571428,56.05517241379311
22,78.132,69.74365079365079,70.388,56.372413793103455
23,78.672,69.89285714285714,70.616,56.62931034482759
24,79.14399999999999,70.09642857142858,70.886,56.77241379310345
25,79.46,70.80892857142857,71.142,56.97241379310345
26,79.756,71.46071428571429,71.35199999999999,57.07241379310344
27,80.06,72.63571428571429,71.57600000000001,57.14827586206897
28,80.312,73.41785714285713,71.668,57.24310344827586
29,80.524,74.16785714285716,71.99600000000001,57.29137931034482
30,80.72399999999999,74.90714285714286,72.124,57.348275862068974
31,80.804,75.58214285714287,72.208,57.38275862068966
32,80.632,76.36428571428573,72.264,57.42068965517241
33,80.4391111111111,76.99285714285715,72.434,57.422413793103445
34,80.315,77.68571428571428,72.664,57.41379310344828
35,79.89471428571429,78.0,72.852,57.41379310344828
36,79.46942857142857,78.24642857142855,72.92399999999999,57.41724137931034
37,79.04414285714284,78.39999999999999,73.02,57.484482758620686
38,78.63185714285716,78.55714285714285,73.176,57.61206896551724
39,78.304,78.79999999999998,73.28,57.80344827586207
40,77.98899999999999,79.03214285714286,73.436,57.93103448275862
41,77.663,79.20714285714287,73.536,58.14137931034483
42,77.45299999999999,79.47678571428571,73.568,58.48965517241379
43,77.26266666666668,79.62857142857143,73.612,58.71724137931035
44,76.98400000000001,79.80714285714285,73.682,59.065517241379304
45,76.98,79.875,73.824,59.300000000000004
46,77.012,79.92857142857143,73.904,59.47586206896551
47,77.276,80.00714285714285,74.032,59.610344827586204
48,77.53200000000001,80.02499999999999,74.254,59.81724137931034
49,77.804,80.05714285714285,74.346,59.872413793103455
50,78.10799999999999,80.11785714285713,74.44088888888889,59.90344827586207
51,78.456,80.16785714285714,74.608,60.268965517241384
52,78.804,80.25714285714285,74.88533333333334,60.56551724137931
53,78.9,80.33214285714287,75.11288888888889,61.0103448275862
54,78.88,80.45,75.47822222222221,61.35862068965517
55,78.972,80.575,75.67377777777777,61.69310344827586
56,79.028,80.66785714285713,75.78133333333334,62.18448275862069
57,79.08800000000001,80.73928571428571,76.08155555555555,62.51379310344827
58,79.164,80.86785714285715,76.36961111111111,63.01379310344828
59,79.236,81.08928571428571,76.807,63.16551724137932
60,79.27600000000001,81.25357142857142,77.08,63.279310344827586
61,79.296,81.55714285714285,77.22800000000001,63.34827586206897
62,79.308,81.78928571428571,78.1425,63.4
63,79.324,82.01428571428572,78.99166666666667,63.57241379310344
64,79.45911111111111,82.24642857142858,79.26666666666667,63.748275862068965
65,79.47,82.44642857142857,79.7375,64.06379310344828
66,79.487,82.625,79.82916666666667,64.41206896551724
67,79.52799999999999,82.77678571428572,79.9125,65.01379310344828
68,79.352,82.8625,79.98541666666667,65.40344827586208
69,79.164,82.97142857142856,80.05416666666666,65.98793103448276
