29,time,2-Resp1,2-Resp2,2-Resp3,2-Resp4,2-Resp5,2-Resp6,2-Resp7,2-Resp8,2-Resp9,2-Resp10,2-Resp11,2-Resp12,2-Resp13,2-Resp14,2-Resp15,2-Resp16,2-Resp17,2-Resp18,2-Resp19,2-Resp20,2-Resp21,2-Resp22,2-Resp23,2-Resp25,2-Resp26,2-Resp27,2-Resp28,2-Resp29,2-Resp30
QT1,1,42,0,50,51,64,46,48,43,48,46,22,52,50,52,48,51,17,50,48,46,50,69,56,47,50,49,50,-1,100
,2,42,0,50,51,64,46,48,43,48,46,22,52,50,48,48,51,17,50,48,46,50,71,56,47,51,49,50,-1,100
,3,42,0,50,51,64,46,48,43,48,46,23,52,50,48,48,51,17,50,48,46,50,71,56,47,51,49,50,-1,100
,4,42,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,71,56,47,51,49,49,-1,100
,5,42,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,49,-1,100
,6,47,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,50,-1,100
,7,47,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,49,-1,100
,8,47,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,50,-1,100
,9,47,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,50,-1,100
,10,48,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,50,-1,100
,11,48,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,50,-1,100
,12,48,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,49,-1,100
,13,48,0,50,50,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,50,56,47,51,49,49,-1,100
,14,48,0,50,48,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,48,56,47,51,49,49,-1,100
,15,48,0,50,47,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,48,56,47,51,49,52,-1,100
,16,48,0,50,49,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,48,56,47,51,49,50,-1,100
,17,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,50,48,46,50,48,56,43,51,49,50,-1,100
,18,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,46,48,46,50,48,56,31,51,49,50,-1,100
,19,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,46,48,46,50,48,56,40,51,49,50,-1,100
,20,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,46,48,46,50,48,56,40,51,49,50,-1,100
,21,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,46,48,46,50,48,56,40,51,52,50,-1,100
,22,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,47,48,46,50,48,56,40,51,24,50,-1,100
,23,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,0,50,-1,100
,24,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,0,46,-1,100
,25,52,0,50,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,11,50,-1,100
,26,52,20,28,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,26,49,-1,100
,27,52,52,0,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,75,48,-1,100
,28,52,54,0,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,90,51,-1,100
,29,52,54,77,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,39,25,-1,100
,30,52,56,100,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,49,0,-1,100
,31,54,56,0,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,49,0,-1,100
,32,54,56,47,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,56,40,51,52,34,-1,100
,33,54,60,69,54,64,46,48,43,48,46,50,52,50,48,48,51,17,48,48,46,50,48,55,40,51,47,51,-1,100
