29,time,6-Resp1,6-Resp2,6-Resp3,6-Resp4,6-Resp5,6-Resp6,6-Resp7,6-Resp8,6-Resp9,6-Resp10,6-Resp11,6-Resp12,6-Resp13,6-Resp14,6-Resp15,6-Resp16,6-Resp17,6-Resp18,6-Resp19,6-Resp20,6-Resp21,6-Resp22,6-Resp23,6-Resp25,6-Resp26,6-Resp27,6-Resp28,6-Resp29,6-Resp30
QT1,1,50,51,50,51,50,48,53,50,48,51,54,56,56,47,46,56,49,49,42,95,50,50,50,40,52,48,50,50,50
,2,50,51,50,51,50,48,53,50,48,51,54,52,56,47,46,49,49,49,42,95,50,50,50,40,52,48,50,50,50
,3,50,51,50,51,50,48,53,57,48,51,54,50,56,47,46,49,49,49,42,74,50,50,50,40,52,48,50,50,50
,4,50,51,50,51,50,48,53,61,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,50,50,50
,5,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,50,50,50
,6,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,50,51,50
,7,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,56,52,50
,8,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,53,50
,9,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,53,52
,10,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,54,55
,11,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,55,55
,12,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,55,55
,13,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,55,55
,14,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,56,55
,15,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,56,55
,16,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,56,55
,17,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,48,50,50,50,40,52,48,59,56,55
,18,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,54,50,50,50,40,52,48,59,56,55
,19,50,51,50,51,50,48,53,62,48,51,54,50,56,47,46,50,49,49,42,96,50,50,50,40,52,48,66,56,56
