29,time,1-Resp1,1-Resp2,1-Resp3,1-Resp4,1-Resp5,1-Resp6,1-Resp7,1-Resp8,1-Resp9,1-Resp10,1-Resp11,1-Resp12,1-Resp13,1-Resp14,1-Resp15,1-Resp16,1-Resp17,1-Resp18,1-Resp19,1-Resp20,1-Resp21,1-Resp22,1-Resp23,1-Resp25,1-Resp26,1-Resp27,1-Resp28,1-Resp29,1-Resp30
QT1,1,-1,52,82,58,59,-1,63,92,63,49,64,77,79,63,47,-1,68,49,100,-1,82,63,95,59,100,64,66,-1,46
,2,-1,52,83,58,58,-1,63,92,63,49,64,77,79,63,47,-1,68,49,100,74,82,63,100,58,100,64,66,-1,46
,3,-1,52,83,58,58,-1,63,92,63,49,64,77,79,63,47,-1,68,80,100,74,82,63,100,58,100,64,66,-1,46
,4,-1,52,83,58,58,-1,63,92,63,49,64,77,79,63,47,-1,73,67,100,74,82,63,100,58,100,64,66,-1,46
,5,-1,52,83,58,58,-1,63,92,63,49,64,77,79,63,47,-1,72,67,100,74,82,63,100,58,100,64,68,-1,46
,6,-1,52,100,58,58,-1,63,92,63,49,64,77,79,63,47,51,68,59,100,74,82,63,100,59,100,64,68,-1,46
,7,78,52,100,63,58,69,63,92,63,49,64,77,79,63,47,55,81,56,100,74,82,63,100,65,100,64,67,-1,46
,8,78,52,100,57,58,69,63,92,64,49,64,77,79,63,47,56,100,55,100,74,82,63,100,70,100,64,67,-1,46
,9,78,52,100,60,58,69,63,92,64,49,64,77,79,63,47,57,100,55,100,74,82,63,100,76,100,64,67,-1,46
,10,78,52,100,60,58,69,63,92,64,49,64,77,79,63,47,57,100,55,100,74,82,63,100,76,100,71,67,-1,46
,11,78,52,100,60,58,69,63,92,64,49,65,77,79,63,47,57,100,55,100,74,82,63,69,66,100,73,67,-1,46
,12,78,52,100,60,58,69,65,92,64,49,66,77,79,63,47,57,100,55,100,74,82,63,69,44,100,73,67,-1,46
,13,78,52,53,60,58,69,67,92,64,49,66,77,79,63,47,57,100,55,100,74,82,63,69,48,100,73,67,-1,46
,14,78,52,53,60,58,-1,67,92,64,49,66,77,79,63,47,57,100,55,100,74,82,63,71,61,100,73,67,-1,46
,15,78,52,51,60,58,-1,67,92,65,49,66,77,79,63,47,57,100,55,100,74,82,63,71,61,100,73,67,-1,46
,16,78,35,51,60,58,-1,67,92,65,49,66,77,79,63,47,57,100,55,100,75,82,63,71,46,100,73,67,-1,46
,17,78,35,51,60,58,-1,67,92,65,49,66,77,79,63,47,57,100,55,100,75,82,63,71,46,100,73,67,-1,46
,18,78,35,51,60,58,-1,67,92,65,-1,66,77,79,63,47,57,100,55,100,75,82,63,71,44,100,73,67,-1,46
,19,78,35,51,60,58,-1,67,92,65,-1,66,77,79,63,47,57,100,55,100,75,82,63,71,44,100,73,67,-1,46
,20,78,38,51,61,60,-1,67,92,65,-1,66,77,79,63,47,57,100,55,100,74,82,63,71,44,100,73,67,-1,46
,21,-1,49,51,61,61,-1,67,92,65,-1,66,77,79,63,47,57,100,55,100,74,82,63,71,44,100,73,67,-1,46
,22,-1,48,51,61,61,-1,71,92,65,-1,66,77,79,63,47,57,100,55,100,74,82,63,71,44,100,73,67,-1,46
,23,-1,48,51,61,61,-1,73,92,65,-1,66,77,79,63,47,57,100,55,100,75,82,63,71,44,100,73,67,-1,46
,24,-1,48,-1,61,61,-1,75,92,65,-1,66,77,79,63,47,57,100,56,100,75,82,63,71,44,100,73,67,-1,46
,25,-1,48,-1,61,61,-1,77,92,65,-1,66,77,79,63,47,57,100,56,100,75,82,63,71,44,100,73,73,-1,46
,26,-1,48,-1,61,61,-1,79,92,65,-1,66,77,79,63,47,57,100,61,100,75,82,63,71,44,100,73,73,-1,46
,27,-1,34,-1,61,61,-1,80,92,65,49,66,77,79,63,47,57,100,61,100,75,82,63,71,44,100,73,73,-1,46
,28,-1,34,-1,61,61,-1,81,92,65,49,66,77,79,63,47,57,100,66,100,75,82,63,71,56,100,73,73,-1,46
,29,-1,33,-1,61,61,-1,81,92,65,49,66,77,79,63,47,57,100,66,100,75,82,63,71,56,100,73,73,-1,46
,30,-1,33,-1,61,61,-1,81,92,65,49,66,77,79,63,47,57,100,66,100,75,82,63,88,56,100,73,73,-1,46
,31,-1,33,-1,61,61,-1,81,92,65,49,66,77,79,63,48,56,100,66,100,75,82,63,96,56,100,73,73,-1,46
,32,-1,33,-1,-1,61,-1,81,92,65,49,66,77,79,63,48,56,100,66,100,75,82,63,96,56,100,73,73,-1,46
,33,78,33,-1,-1,61,-1,81,92,65,49,66,77,79,63,48,56,100,66,100,75,82,63,89,56,100,73,73,-1,46
,34,78,33,-1,-1,61,-1,81,92,65,49,66,77,79,63,48,56,100,66,100,75,82,63,86,56,100,73,73,-1,46
,35,78,33,-1,-1,61,-1,81,92,65,49,66,77,79,63,48,51,100,66,100,75,82,63,72,56,100,73,74,-1,42
,36,78,33,-1,-1,60,-1,81,92,65,49,66,77,79,63,48,47,100,66,100,3,82,63,81,56,100,73,74,-1,29
,37,78,33,-1,-1,59,-1,81,92,65,49,66,77,79,63,48,47,100,66,100,3,82,63,80,56,100,73,74,-1,29
,38,78,33,-1,-1,58,-1,81,92,65,49,66,77,79,63,48,47,100,66,100,75,82,63,82,56,100,73,74,-1,28
,39,78,33,-1,-1,58,-1,81,92,65,49,66,77,79,63,48,47,91,66,100,75,82,63,91,56,100,73,74,-1,28
,40,78,33,-1,-1,58,-1,81,92,65,49,66,77,79,63,48,45,89,66,100,75,82,63,95,56,100,73,74,-1,28
,41,78,33,-1,-1,58,70,81,92,65,-1,66,77,79,63,48,45,85,66,100,75,82,63,100,56,100,73,74,-1,22
,42,78,33,-1,-1,58,70,81,92,65,-1,66,77,79,63,50,45,82,66,-1,75,82,63,100,56,100,73,74,-1,22
,43,78,33,-1,-1,58,70,81,92,65,-1,66,77,79,63,50,45,84,66,-1,76,82,63,100,56,100,73,74,-1,35
,44,78,33,-1,-1,62,70,81,92,65,-1,66,77,79,15,49,58,87,66,-1,76,82,63,100,66,100,73,74,-1,45
,45,78,33,-1,-1,63,70,84,97,65,-1,66,82,79,15,49,59,88,66,100,76,82,63,100,65,100,73,74,-1,66
,46,78,33,-1,-1,63,70,85,100,65,-1,66,82,79,15,49,60,89,66,100,76,82,63,100,65,100,73,74,-1,66
,47,78,33,-1,-1,63,70,85,100,65,-1,66,82,79,15,63,61,89,66,100,76,-1,63,100,69,87,73,74,-1,66
,48,78,33,-1,-1,63,-1,85,100,66,-1,66,82,79,63,63,62,89,66,100,76,-1,63,100,70,86,73,74,-1,66
,49,78,33,-1,-1,63,-1,85,100,66,-1,66,82,79,63,63,62,89,67,100,76,-1,63,100,70,86,73,74,-1,66
,50,78,33,-1,-1,63,-1,85,100,66,-1,66,82,79,63,63,62,89,67,100,76,-1,63,92,70,87,79,74,-1,66
,51,78,33,-1,-1,63,-1,85,100,66,-1,66,82,79,63,63,63,89,67,100,76,82,63,91,71,87,80,-1,-1,66
,52,78,33,-1,-1,63,-1,85,100,66,49,66,82,79,63,63,63,89,67,-1,76,82,63,91,71,86,80,-1,-1,66
,53,78,33,-1,-1,63,-1,85,100,66,49,66,82,79,63,63,63,89,67,100,76,82,63,91,124,86,80,-1,-1,66
,54,78,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,63,89,67,100,76,100,63,91,71,81,79,-1,-1,66
,55,78,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,63,89,67,100,76,100,63,91,91,81,80,-1,-1,66
,56,78,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,64,89,67,100,76,100,63,91,91,81,80,82,-1,66
,57,78,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,64,89,67,100,76,100,63,91,91,81,80,82,-1,66
,58,-1,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,64,89,67,100,76,100,63,91,91,81,80,82,-1,66
,59,-1,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,64,89,67,100,76,100,63,91,91,81,79,82,-1,66
,60,78,33,-1,-1,63,-1,85,100,65,49,66,82,79,63,63,58,89,67,100,76,100,63,91,91,81,80,82,-1,66
,61,77,33,-1,-1,63,71,85,100,65,49,66,82,79,63,63,55,89,67,100,76,100,63,91,91,81,79,82,-1,66
,62,77,33,-1,-1,61,71,85,100,65,49,66,82,79,-1,63,8,89,67,100,76,100,63,91,68,81,80,82,-1,66
,63,77,33,-1,-1,61,71,85,99,65,49,66,82,79,-1,63,60,89,67,100,76,92,63,85,67,81,80,82,-1,35
,64,77,33,-1,-1,61,71,85,99,65,49,66,82,79,-1,63,60,89,67,100,76,92,63,77,67,81,80,82,-1,34
,65,77,33,-1,-1,61,71,85,99,65,49,66,82,79,-1,63,60,89,67,100,76,82,63,76,67,81,80,82,-1,34
,66,77,33,-1,-1,61,71,85,99,61,49,66,82,79,-1,63,60,89,67,100,76,82,63,71,67,81,80,82,-1,34
,67,77,33,-1,-1,61,71,85,99,61,49,66,82,79,-1,43,60,89,67,100,76,82,63,71,67,81,80,82,-1,34
,68,77,34,-1,-1,61,71,85,99,61,49,66,82,79,-1,43,60,89,68,100,76,82,63,71,63,81,79,82,-1,34
,69,77,34,-1,-1,61,71,85,99,61,49,66,82,79,-1,43,60,89,68,100,76,82,63,71,63,81,80,83,-1,34
,70,77,34,-1,-1,61,-1,85,99,61,49,66,82,79,-1,43,60,89,69,100,76,82,63,71,63,81,80,82,-1,34
,71,-1,46,-1,-1,61,-1,85,99,61,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,63,81,80,82,-1,33
,72,-1,51,-1,-1,61,-1,85,99,61,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,63,81,80,82,-1,32
,73,77,51,-1,-1,62,-1,82,99,59,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,63,81,80,82,-1,32
,74,77,51,-1,-1,61,-1,79,99,60,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,64,81,80,82,-1,31
,75,77,51,-1,-1,61,-1,76,99,60,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,64,81,80,82,-1,31
,76,77,51,-1,-1,61,-1,72,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,67,81,80,82,-1,30
,77,77,51,-1,-1,61,-1,70,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,67,78,80,82,-1,30
,78,77,51,-1,-1,61,-1,69,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,67,78,80,82,-1,30
,79,77,51,-1,-1,61,-1,68,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,70,78,80,82,-1,27
,80,77,51,-1,-1,61,-1,66,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,81,77,51,-1,-1,61,-1,66,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,82,77,51,-1,-1,61,-1,66,99,60,49,66,82,79,63,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,83,77,51,74,-1,64,-1,66,99,60,49,66,82,79,-1,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,84,77,51,74,-1,64,-1,66,99,61,-1,66,82,79,-1,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,85,77,51,74,-1,64,71,66,99,61,-1,66,82,79,-1,42,60,89,69,100,76,82,63,71,72,78,80,82,-1,27
,86,77,51,74,-1,64,71,66,99,61,-1,66,82,79,-1,42,55,93,69,100,76,82,63,71,72,78,80,82,-1,27
,87,77,51,74,-1,64,71,66,99,63,-1,66,82,79,-1,42,54,88,69,100,76,82,63,71,72,78,80,82,-1,27
,88,77,51,74,-1,64,71,66,99,63,-1,66,82,79,-1,42,54,78,69,100,76,82,63,71,75,78,80,82,-1,27
,89,77,51,74,-1,64,71,66,99,64,-1,66,82,79,-1,42,53,79,69,100,76,82,63,71,80,78,80,82,-1,27
,90,77,51,78,-1,64,71,66,99,66,-1,66,82,79,-1,43,53,79,69,100,76,82,63,71,80,79,80,82,-1,27
,91,77,51,78,-1,64,71,66,99,66,-1,66,82,79,-1,48,55,78,69,100,76,82,63,71,80,79,80,82,-1,27
,92,77,51,78,-1,64,-1,66,99,69,-1,66,82,79,-1,48,55,74,69,100,76,82,63,71,80,79,80,82,-1,27
,93,77,51,78,-1,64,-1,66,99,71,-1,66,82,79,-1,49,55,73,69,100,76,82,63,71,80,79,80,82,-1,27
,94,77,51,78,-1,64,-1,66,99,71,-1,66,82,79,63,49,55,69,69,100,76,82,63,71,80,73,80,82,-1,27
,95,77,51,78,85,64,-1,66,99,71,-1,66,82,79,63,49,55,63,70,100,76,82,63,71,80,73,80,-1,-1,27
,96,77,51,78,85,64,-1,66,99,71,-1,66,82,79,63,48,55,56,70,100,76,82,63,71,80,73,80,-1,-1,27
,97,77,51,78,85,64,-1,66,99,71,-1,66,82,79,63,48,55,57,70,100,76,82,63,71,72,73,80,82,-1,27
,98,-1,51,78,85,64,71,66,99,70,-1,66,82,79,63,48,55,52,70,100,76,82,63,71,69,73,80,82,-1,27
,99,-1,51,78,93,64,71,66,99,70,-1,66,82,79,63,48,55,52,70,85,76,82,63,71,69,73,80,82,-1,27
,100,-1,51,78,70,64,71,66,99,70,-1,66,82,79,63,49,55,52,71,61,76,82,63,71,68,73,80,82,-1,27
,101,-1,51,78,71,64,71,66,99,70,-1,66,82,79,63,49,57,53,71,61,76,82,63,71,67,73,80,82,-1,27
,102,-1,51,78,71,64,71,66,99,70,-1,66,82,79,63,49,57,53,71,61,76,82,63,71,67,73,80,82,-1,27
,103,-1,51,-1,36,64,71,66,99,70,-1,66,82,79,63,49,57,53,71,61,76,82,63,71,67,73,80,82,-1,27
,104,-1,51,-1,38,64,71,66,99,70,49,66,82,79,63,49,57,52,71,61,76,82,63,71,67,73,80,82,-1,27
,105,-1,51,-1,46,64,66,66,99,70,49,66,82,79,63,49,57,48,71,61,76,82,63,79,67,73,80,82,-1,27
,106,-1,51,-1,54,64,66,66,99,70,49,66,82,79,63,49,57,47,71,61,76,82,63,73,67,73,80,82,-1,27
,107,-1,51,-1,54,64,66,66,95,70,49,66,82,79,63,49,57,48,71,61,76,82,63,73,67,73,80,82,-1,27
,108,77,51,-1,54,63,66,66,92,70,49,66,79,79,63,49,57,48,71,61,76,82,63,71,67,73,80,83,-1,27
,109,77,51,-1,54,63,66,66,92,70,49,66,79,79,63,48,57,48,71,61,76,82,63,71,67,73,80,83,-1,27
,110,77,51,-1,37,63,66,66,92,70,49,66,79,79,63,48,56,48,71,61,76,82,63,81,68,73,80,83,-1,27
,111,77,51,-1,37,67,66,66,92,68,49,66,79,79,63,48,56,48,74,61,76,82,63,81,68,73,80,83,-1,27
,112,77,51,52,34,67,66,66,92,63,49,66,79,79,63,48,56,48,73,61,76,82,63,82,68,73,80,83,-1,27
,113,77,51,51,34,67,66,66,92,61,49,66,79,79,63,48,56,46,73,100,76,82,63,81,72,73,80,83,-1,27
,114,77,51,51,34,67,66,66,92,60,49,66,79,79,63,48,56,47,73,100,76,82,63,82,46,73,80,83,-1,27
,115,77,51,51,34,67,66,66,92,60,49,66,79,79,63,48,56,47,73,100,76,82,63,80,46,73,80,83,-1,27
,116,77,51,51,34,67,66,66,92,60,54,66,79,79,63,48,56,47,73,100,76,82,63,81,46,73,80,83,45,27
,117,77,51,51,34,67,66,66,92,60,54,66,79,79,63,48,56,47,70,100,76,-1,63,81,46,73,80,83,45,27
,118,77,51,51,34,67,-1,66,92,60,54,66,79,79,63,48,56,47,66,100,76,-1,59,81,46,73,80,83,45,27
,119,77,51,76,34,67,-1,66,92,60,54,66,79,79,63,48,56,47,65,100,76,-1,50,81,46,73,80,83,45,27
,120,77,51,78,34,67,-1,66,92,60,54,66,79,79,63,48,56,47,65,100,124,-1,50,81,46,73,80,83,45,27
,121,77,51,78,34,67,-1,64,92,60,54,66,79,79,63,48,56,47,65,100,76,82,49,81,46,73,80,83,45,27
,122,77,51,78,34,67,-1,63,83,60,54,66,-1,79,63,54,58,47,64,100,76,82,49,81,46,73,80,83,45,27
,123,77,51,78,34,67,-1,63,78,60,54,66,-1,79,63,58,58,47,65,100,76,82,49,81,46,73,80,83,-1,27
,124,77,51,78,34,67,-1,63,78,60,54,66,-1,79,63,63,62,47,65,100,76,82,50,81,-1,73,80,83,-1,27
,125,78,51,78,34,67,-1,63,78,63,54,66,-1,79,63,70,64,47,65,100,76,82,65,81,-1,73,80,83,-1,27
,126,78,51,78,34,69,-1,62,78,63,54,66,-1,79,63,72,66,47,65,100,76,82,67,81,-1,73,80,83,-1,27
,127,78,51,78,34,69,-1,62,78,63,54,66,-1,79,63,73,69,62,65,100,76,82,67,81,-1,73,80,83,-1,27
,128,78,51,78,34,69,-1,62,78,64,54,66,-1,79,63,75,69,62,65,100,76,-1,67,81,-1,73,80,83,-1,27
,129,78,51,78,34,69,-1,62,78,64,-1,66,-1,79,63,81,70,62,65,100,76,-1,67,81,-1,73,80,83,-1,27
,130,78,51,78,34,69,13,62,78,65,-1,66,-1,79,63,82,71,62,65,100,76,-1,67,81,-1,73,85,83,-1,35
,131,78,51,78,34,69,13,62,78,65,54,66,-1,79,63,82,71,67,65,100,76,-1,67,81,-1,73,100,83,-1,50
