,royalCourt,aotearoa,samoa,fiji,hawaii,tonga,tahiti,finale
0,51.06896551724138,55.434482758620696,77.14482758620689,54.779310344827586,53.93256704980842,70.90689655172415,59.85517241379311,80.09655172413792
1,50.793103448275865,55.15862068965516,74.8310344827586,54.29310344827587,53.09655172413793,69.40344827586206,57.89655172413793,80.55862068965517
2,50.459770114942536,54.9448275862069,72.29655172413793,53.98620689655172,52.37931034482759,67.53103448275861,56.017241379310356,81.03448275862068
3,50.30172413793103,54.78620689655173,69.6551724137931,53.686206896551724,51.8448275862069,65.34482758620689,54.3,81.51034482758621
4,50.213793103448275,54.67931034482758,66.97586206896551,53.53793103448275,51.48620689655172,63.15862068965519,52.782758620689656,81.90344827586206
5,50.19540229885057,54.489655172413784,64.34482758620689,53.55862068965517,51.251724137931035,61.03793103448276,51.63103448275862,82.13103448275861
6,50.20197044334976,54.07586206896552,61.88965517241378,53.59655172413793,51.11724137931035,59.19310344827586,50.906896551724145,82.47931034482757
7,50.21551724137931,53.93103448275862,59.50689655172413,53.58275862068966,50.9896551724138,57.63448275862069,50.634482758620685,82.8103448275862
8,50.24137931034483,53.62758620689655,57.31379310344826,53.641379310344824,50.96206896551725,56.086206896551715,50.53103448275861,83.09310344827587
9,50.265517241379314,53.231034482758616,55.320689655172416,53.755172413793105,50.858620689655176,54.79655172413792,50.47586206896552,83.3
10,50.206896551724135,52.94482758620689,54.2551724137931,54.02413793103448,50.765517241379314,53.9103448275862,50.45862068965517,83.39310344827585
11,50.20344827586207,52.72758620689655,54.044827586206885,54.286206896551725,50.748275862068965,53.27241379310345,50.42068965517242,83.4793103448276
12,50.27586206896552,52.531034482758606,54.0103448275862,54.358620689655176,50.72758620689655,52.98275862068966,50.36896551724138,83.60000000000001
13,50.3448275862069,52.365517241379315,54.08965517241379,54.44482758620689,50.706896551724135,53.01379310344828,50.372413793103455,83.62413793103447
14,50.41034482758621,52.22758620689655,54.21379310344827,54.62068965517241,50.689655172413794,53.04482758620689,50.40344827586207,83.72068965517242
15,50.45172413793104,52.26428571428572,54.186206896551724,54.834482758620695,50.675862068965515,53.06896551724138,50.48620689655172,83.81724137931033
16,50.5,52.04482758620689,53.989655172413784,55.024137931034474,50.66206896551724,53.11034482758621,50.596551724137925,83.72413793103448
17,50.713793103448275,52.0551724137931,53.741379310344826,55.19655172413793,50.66206896551724,53.15172413793104,50.69310344827586,83.56551724137931
18,50.90689655172414,52.510344827586216,53.475862068965526,55.320689655172416,50.66206896551724,53.19310344827586,50.78620689655173,83.34482758620689
19,51.103448275862064,52.79482758620689,53.237931034482756,55.300000000000004,50.744827586206895,53.24137931034483,50.96896551724139,83.18620689655171
20,51.293103448275865,52.97931034482758,53.12068965517241,55.241379310344826,50.834482758620695,53.30689655172414,51.12068965517241,83.07241379310345
21,51.48620689655172,53.37241379310345,52.865517241379315,55.179310344827584,50.83793103448276,53.41724137931034,51.33793103448276,82.90689655172413
22,51.686206896551724,53.84334975369458,52.65172413793104,55.12758620689655,50.841379310344834,53.517241379310335,51.606896551724134,82.66206896551724
23,51.88620689655173,54.27931034482759,52.43793103448276,55.05862068965517,50.858620689655176,53.62413793103448,51.86206896551724,82.51379310344828
24,52.08620689655172,54.747126436781606,52.213793103448275,54.9,50.900000000000006,53.806896551724144,52.11724137931034,82.37241379310343
25,52.289655172413795,55.26551724137931,52.23793103448276,54.672413793103445,51.08620689655172,54.07586206896552,52.358620689655176,82.12413793103448
26,52.48275862068966,55.88965517241379,52.5103448275862,54.46551724137931,51.30344827586207,54.36206896551724,52.61034482758621,81.79310344827587
27,52.53103448275861,56.55862068965517,52.80689655172414,54.310344827586206,51.52758620689655,54.61379310344827,52.89655172413793,81.20536398467434
28,52.59655172413793,57.16206896551725,53.12068965517242,54.18620689655172,51.76206896551724,54.86896551724138,53.320689655172416,80.6727969348659
29,52.71379310344827,57.98275862068966,53.43793103448275,54.36551724137931,51.99999999999999,55.12068965517241,53.66206896551724,79.48850574712642
30,52.8551724137931,58.85862068965517,53.94482758620689,54.56551724137931,52.23793103448276,55.34827586206896,54.04827586206896,77.99731800766284
31,53.01379310344827,59.606896551724134,54.52758620689655,54.748275862068965,52.49655172413794,55.55862068965518,54.37931034482759,76.34750957854405
32,53.17931034482758,60.275862068965516,55.17586206896552,54.92413793103448,52.76896551724138,55.76206896551724,54.689655172413794,74.33908045977012
33,53.3448275862069,60.87931034482759,55.86206896551723,55.10344827586208,53.04137931034482,55.94137931034483,55.02068965517242,72.14099616858238
34,53.5103448275862,61.53793103448275,56.57241379310345,55.26896551724138,53.293103448275865,56.05172413793103,55.35862068965517,69.93946360153257
35,53.672413793103445,62.24827586206896,57.4103448275862,55.44137931034483,53.406896551724145,56.09310344827586,55.71379310344827,67.84827586206897
36,53.824137931034485,62.831034482758625,58.19655172413794,55.60689655172414,53.4896551724138,56.179310344827584,56.05517241379311,65.97586206896553
37,53.99310344827586,63.472413793103456,59.110344827586204,55.865517241379315,53.57586206896551,56.35862068965517,56.372413793103455,64.05862068965517
38,54.179310344827584,64.14827586206897,60.03793103448275,56.175862068965515,53.65172413793104,56.56551724137931,56.54827586206896,62.099999999999994
39,54.313793103448276,64.5551724137931,61.0551724137931,56.38620689655172,53.72413793103448,56.820689655172416,56.710344827586205,60.713793103448275
40,54.43448275862069,64.84827586206896,61.91034482758621,56.62068965517242,53.806896551724144,57.13103448275861,56.834482758620695,59.6551724137931
41,54.53103448275861,65.08965517241379,62.689655172413794,56.87931034482759,53.95517241379311,57.35517241379311,56.97241379310345,58.73793103448276
