,time,2-Resp1,2-Resp2,2-Resp3,2-Resp4,2-Resp5,2-Resp6,2-Resp7,2-Resp8,2-Resp9,2-Resp10,2-Resp11,2-Resp12,2-Resp13,2-Resp14,2-Resp15,2-Resp16,2-Resp17,2-Resp18,2-Resp19,2-Resp20,2-Resp21,2-Resp22,2-Resp23,2-Resp25,2-Resp26,2-Resp27,2-Resp28,2-Resp30,Avg-1,Avg-2,Avg-3,Avg-4,Avg-5,Avg-6,Avg-7,Avg-8,Avg-9,Avg-10,Avg-11,Avg-12,Avg-13,Avg-14,Avg-15,Avg-16,Avg-17,Avg-18,Avg-19,Avg-20,Avg-21,Avg-22,Avg-23,Avg-25,Avg-26,Avg-27,Avg-28,Avg-30
599,600,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,49.0,57.0,53.0,48.0,52.0,48.0,0.0,48.0,50.0,63.0,50.0,47.0,43.0,50.0,49.0,50.0,72.0,49.925925925925924,49.629629629629626,50.22222222222222,50.22222222222222,50.148148148148145,50.25925925925926,50.22222222222222,50.22222222222222,50.2962962962963,50.22222222222222,50.074074074074076,50.25925925925926,49.96296296296296,50.111111111111114,50.2962962962963,50.148148148148145,50.2962962962963,52.074074074074076,50.2962962962963,50.22222222222222,49.74074074074074,50.22222222222222,50.333333333333336,50.48148148148148,50.22222222222222,50.25925925925926,50.22222222222222,49.407407407407405
600,601,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,48.0,48.0,50.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,51.96296296296296,51.666666666666664,52.25925925925926,52.25925925925926,52.18518518518518,52.2962962962963,52.25925925925926,52.25925925925926,52.333333333333336,52.25925925925926,52.111111111111114,52.25925925925926,52.0,52.148148148148145,52.333333333333336,52.18518518518518,52.333333333333336,52.333333333333336,52.333333333333336,52.25925925925926,51.77777777777778,52.25925925925926,52.148148148148145,52.51851851851852,52.25925925925926,52.2962962962963,52.25925925925926,51.44444444444444
601,602,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,50.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,52.03703703703704,51.74074074074074,52.333333333333336,52.333333333333336,52.25925925925926,52.370370370370374,52.333333333333336,52.333333333333336,52.407407407407405,52.333333333333336,52.18518518518518,52.333333333333336,52.074074074074076,52.22222222222222,52.407407407407405,52.25925925925926,52.407407407407405,52.333333333333336,52.407407407407405,52.333333333333336,51.851851851851855,52.333333333333336,52.22222222222222,52.592592592592595,52.333333333333336,52.370370370370374,52.333333333333336,51.51851851851852
602,603,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,50.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,52.03703703703704,51.74074074074074,52.333333333333336,52.333333333333336,52.25925925925926,52.370370370370374,52.333333333333336,52.333333333333336,52.407407407407405,52.333333333333336,52.18518518518518,52.333333333333336,52.074074074074076,52.22222222222222,52.407407407407405,52.25925925925926,52.407407407407405,52.333333333333336,52.407407407407405,52.333333333333336,51.851851851851855,52.333333333333336,52.22222222222222,52.592592592592595,52.333333333333336,52.370370370370374,52.333333333333336,51.51851851851852
603,604,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,51.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,52.074074074074076,51.77777777777778,52.370370370370374,52.370370370370374,52.2962962962963,52.407407407407405,52.370370370370374,52.370370370370374,52.44444444444444,52.370370370370374,52.22222222222222,52.370370370370374,52.111111111111114,52.25925925925926,52.44444444444444,52.2962962962963,52.44444444444444,52.370370370370374,52.44444444444444,52.333333333333336,51.888888888888886,52.370370370370374,52.25925925925926,52.629629629629626,52.370370370370374,52.407407407407405,52.370370370370374,51.55555555555556
604,605,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,51.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,52.074074074074076,51.77777777777778,52.370370370370374,52.370370370370374,52.2962962962963,52.407407407407405,52.370370370370374,52.370370370370374,52.44444444444444,52.370370370370374,52.22222222222222,52.370370370370374,52.111111111111114,52.25925925925926,52.44444444444444,52.2962962962963,52.44444444444444,52.370370370370374,52.44444444444444,52.333333333333336,51.888888888888886,52.370370370370374,52.25925925925926,52.629629629629626,52.370370370370374,52.407407407407405,52.370370370370374,51.55555555555556
605,606,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,51.0,63.0,50.0,53.0,43.0,50.0,49.0,50.0,72.0,52.074074074074076,51.77777777777778,52.370370370370374,52.370370370370374,52.2962962962963,52.407407407407405,52.370370370370374,52.370370370370374,52.44444444444444,52.370370370370374,52.22222222222222,52.370370370370374,52.111111111111114,52.25925925925926,52.44444444444444,52.2962962962963,52.44444444444444,52.370370370370374,52.44444444444444,52.333333333333336,51.888888888888886,52.370370370370374,52.25925925925926,52.629629629629626,52.370370370370374,52.407407407407405,52.370370370370374,51.55555555555556
606,607,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,50.0,63.0,50.0,54.0,43.0,50.0,49.0,50.0,72.0,52.074074074074076,51.77777777777778,52.370370370370374,52.370370370370374,52.2962962962963,52.407407407407405,52.370370370370374,52.370370370370374,52.44444444444444,52.370370370370374,52.22222222222222,52.370370370370374,52.111111111111114,52.25925925925926,52.44444444444444,52.2962962962963,52.44444444444444,52.370370370370374,52.44444444444444,52.370370370370374,51.888888888888886,52.370370370370374,52.22222222222222,52.629629629629626,52.370370370370374,52.407407407407405,52.370370370370374,51.55555555555556
607,608,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,50.0,63.0,50.0,54.0,43.0,50.0,49.0,50.0,72.0,52.074074074074076,51.77777777777778,52.370370370370374,52.370370370370374,52.2962962962963,52.407407407407405,52.370370370370374,52.370370370370374,52.44444444444444,52.370370370370374,52.22222222222222,52.370370370370374,52.111111111111114,52.25925925925926,52.44444444444444,52.2962962962963,52.44444444444444,52.370370370370374,52.44444444444444,52.370370370370374,51.888888888888886,52.370370370370374,52.22222222222222,52.629629629629626,52.370370370370374,52.407407407407405,52.370370370370374,51.55555555555556
608,609,58.0,66.0,50.0,50.0,52.0,49.0,50.0,50.0,48.0,50.0,54.0,50.0,57.0,53.0,48.0,52.0,48.0,50.0,48.0,50.0,63.0,50.0,45.0,43.0,50.0,49.0,50.0,72.0,51.74074074074074,51.44444444444444,52.03703703703704,52.03703703703704,51.96296296296296,52.074074074074076,52.03703703703704,52.03703703703704,52.111111111111114,52.03703703703704,51.888888888888886,52.03703703703704,51.77777777777778,51.925925925925924,52.111111111111114,51.96296296296296,52.111111111111114,52.03703703703704,52.111111111111114,52.03703703703704,51.55555555555556,52.03703703703704,52.22222222222222,52.2962962962963,52.03703703703704,52.074074074074076,52.03703703703704,51.22222222222222
