,r,N,dialStd,dialAvgs,avgStd
1-Resp1,0.0006241606960131423,1087,4.471542652476374,81.2364305427783,5.785156217683165
1-Resp2,0.2537431014792548,1051,16.237139228251078,67.8173168411037,5.567741829207757
1-Resp3,0.6726156042006959,1038,10.603009845265333,75.4990366088632,5.483920318579317
1-Resp5,0.2817960931443506,1328,6.1784725023355485,63.318524096385545,5.701102148168701
1-Resp7,0.385019745353885,1331,15.595919835740345,65.56273478587528,5.486778952246268
1-Resp8,0.15654968479698325,1331,16.25424450248129,69.35987978963186,5.62678842786675
1-Resp9,0.543159944074297,1331,10.004221611060697,82.0525920360631,5.53706056951693
1-Resp10,0.05952796889243864,1041,14.802077058921794,69.71181556195965,5.685619150789054
1-Resp11,0.0853053170986451,1327,6.593071108845896,56.58854559155991,5.750717293302605
1-Resp12,0.6307830701005815,1318,7.561399666853098,77.48406676783004,5.569405015046095
1-Resp13,0.4299205771039688,1331,8.324627784950827,70.19909842223892,5.620174984136047
1-Resp14,-0.12837742094667548,1094,11.628023626663138,86.92321755027422,5.773261174084132
1-Resp15,0.5997058464617814,1254,16.15719905188532,61.40430622009569,5.378633534075732
1-Resp16,0.3774264558741279,1325,16.477001914426488,78.31698113207547,5.481172529688502
1-Resp17,0.17044448481798524,1331,19.67199191900687,70.91359879789631,5.578909193262711
1-Resp18,0.29397780973871906,1331,9.181582543474281,73.99323816679188,5.656652521855989
1-Resp20,0.4933416256316244,1126,13.578919713589888,76.50710479573712,5.472411572561913
1-Resp21,0.5033287422254994,1123,15.997145889981514,80.87177203918077,5.398477559850427
1-Resp22,0.7271338870050388,1331,11.351148000156718,65.29827197595793,5.4133285707147625
1-Resp23,0.539524138013448,1331,11.107470066057799,88.20886551465064,5.510442996980649
1-Resp25,0.3001434570479165,1165,16.30886151935935,56.40858369098712,5.536375633472506
1-Resp26,0.34806988854792736,1305,12.375445782765523,82.04980842911877,5.578158357597915
1-Resp27,0.29965247043096854,1318,17.37013451727277,76.91426403641881,5.511191870901696
1-Resp28,0.31447961392487916,1324,10.12505132179243,71.81268882175226,5.634476939960671
1-Resp30,0.5901581321379923,1331,13.51534510079763,62.474079639368895,5.414627837951057
